fast_id,status,region_code,region_name,unit_code,unit_name,unit_type,mapped_place,latitude,longitude,recipient,title,assistance_listing,program,doi_decision_date,project_abstract,project_impact,review_notes,fed_funding_this_action
2131,Disapproved,AKR,Alaska,AKRO,Alaska Regional Office,"office, program, or network","Anchorage, Alaska",61.2172,-149.8862,The Great Basin Institute,Preservation of Archeological Collections from the Western Arctic Parklands,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project will stabilize and document archeological collections from the Western Arctic Parklands to prevent deterioration and ensure long-term preservation. Project personnel will document the condition of the items, rehouse objects in archival quality materials, and update catalog records. This work is needed to meet federal collections stewardship requirements and to ensure the park fulfills its mission to preserve and protect archeological resources from Northwest Alaska.","Without this project, Western Arctic Parklands archeological collections will remain in deteriorating field bags and substandard housing, risking damage or loss of these materials. This would result in noncompliance with federal curation requirements under 36 CFR 79 and compromise the long-term preservation and accountability of federally managed archeological resources.","05/19/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2131 titled 'Preservation of Archeological Collections from the Western Arctic Parklands,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",83788.91
2218,Disapproved,IMR,Intermountain,ARCH,Arches National Park,park unit,Arches National Park,38.7079,-109.5955,"THE STUDENT CONSERVATION ASSOCIATION, INC.",Park Ranger Interns at Southeast Utah Group Parks,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at the Southeast Utah Group (SEUG) parks will support two youth interns for 23 weeks as they learn career skills in public engagement, education, and stewardship. Interns will greet visitors at the park’s information center, help with trip planning, issue permits, lead short talks and walks, assist with school groups, and support Junior Ranger activities. Each intern will receive direct mentoring and hands-on training to work confidently with the public. The project gives young people meaningful experience while improving services for visitors and strengthening connections to the park.","Without funding, SEUG parks will lose essential visitor support, fewer educational programs will be offered, and young people will miss valuable career training and mentorship. Reduced staffing will limit the public’s ability to receive trip-planning help, safety guidance, and meaningful connections to the park.","5/26/2026: NPS Review complete. Ready for DOI Review 05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2218 titled 'Park Ranger Interns at Southeast Utah Group Parks,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",51783.36
3209,Disapproved,IMR,Intermountain,AZRU,Aztec Ruins National Monument,park unit,Aztec Ruins National Monument,36.8355,-108.0017,Great Basin Institute,Museum Documentation Project Research Associate,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"The project will complete documentation research into legacy accession and loan documentation for museum collections held for over a century by Aztec Ruins National Monument. The primary focus will be on complex accessions related to early investigations by the American Museum of Natural History (1910s-1920s). The final products will include updated accession descriptions reconciling data in the Accession Files, Collection Management Database accession records, and custodial documentation; updated loan documentation for materials owned by other institutions and physically held by NPS; identification of additional materials potentially eligible for repatriation under the Native American Graves Protection and Repatriation Act (NAGPRA); and preparation of documentation for NAGPRA-related tribal consultation.","This extension is required to ensure synthetic reports and documentation for reparative actions from the voluminous work during the project can be completed. Without this final project phase, research conclusions will not be incorporated into park documentation for the benefit of park resource managers, tribes, researchers, and the public.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 3209 titled 'Museum Documentation Project Research Associate,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",100606.92
1912,Disapproved,AKR,Alaska,BELA,Bering Land Bridge National Preserve,park unit,Bering Land Bridge National Preserve,65.9227,-164.1741,"THE STUDENT CONSERVATION ASSOCIATION, INC.",Visitor Services and Environmental Education Internship,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project provides two youth interns with hands-on experience in visitor services and environmental education while supporting public programs at Bering Land Bridge National Preserve. Activities include staffing the Heritage Center, leading interpretive talks, delivering in-person and virtual education programs, updating curriculum, and creating new learning materials. The interns will also manage distance learning sessions, contribute to social media outreach, and assist with community events. Deliverables include updated educational resources, a sustainable virtual program schedule, and new interpretive content. Outcomes include improved visitor engagement, stronger community partnerships, and enhanced educational opportunities for local schools and remote learners.","Without funding, the Heritage Center will lack essential support for visitor services and educational programs, reducing community engagement and limiting access to environmental education for schools and remote learners. This gap would weaken public understanding and stewardship of the preserve’s globally significant resources.","06/03/2026: NPS review complete. Ready for DOI review. 06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1912 titled 'Visitor Services and Environmental Education Internship,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49962.24
2747,Disapproved,NER,Northeast,BOHA,Boston Harbor Islands National Recreation Area,park unit,Boston Harbor Islands National Recreation Area,42.2621,-70.8758,Student Conservation Association,"Digital History Internship, National Parks of Boston Harbor",15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project will support a Digital History Intern who will collaborate with the National Park Service’s Digital Humanities and Innovation Team to develop and manage digital public history content for the National Parks of Boston. The intern will be trained in National Park Service digital platforms, industry-standard creative tools, and web development practices while helping create public exhibitions, improve website functionality, and prepare digital assets for use across online and on-site platforms for visitors. Their work will include supporting app and kiosk development, producing educational content on themes such as immigration and the Underground Railroad, and helping expand digital classroom resources. By strengthening the park’s digital storytelling and accessibility, this project ensures that the National Parks of Boston remain open, engaging, and informative for the public while aligning with Secretary Orders 3426, 3434, and 3435.","If the project isn't fulfilled, there will be reduced public access to cultural resources, a lack of public awareness of park stories, and missed opportunities for young individuals to gain valuable career-readiness skills.","6/16/2026: NPS review complete. Ready for DOI review. 06/17/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2747 titled 'Digital History Internship, National Parks of Boston Harbor,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",72736.61
2910,Disapproved,IMR,Intermountain,BRCA,Bryce Canyon National Park,park unit,Bryce Canyon National Park,37.5708,-112.1856,The Great Basin Institute,Archival Processing Support For Bryce Canyon National Park,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"The purpose of this project is to support museum and archives capacity and resource management of Bryce Canyon National Park collections. The project involves coordinating with research coordinators to review permit applications, communicating curation responsibilities to Principal Investigators, securing outstanding deliverables including specimens collected under permit and associated documentation, investigating 168 historical permits to recover unreported specimens and associated documents, managing necessary museum loans, and accessioning and cataloging all recovered specimens and associated documents in compliance with NPS museum management standards.","If this project is not completed, vital research specimens and associated data will remain lost or undocumented, parks will stay out of compliance with federal museum requirements, and managers will lack the scientific information needed for informed decisions, resulting in permanent gaps in collections and diminished resource stewardship.","6/30/2026: Project abstract needs work. Abstract should clearly describe the goal of the project, tasks/activities, and intended deliverables and outcomes. 7/1/2026: Revised project abstract. NPS review complete. Ready for DOI review. 7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2910 titled 'Archival Processing Support For Bryce Canyon National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",70988.75
1234,Disapproved,NER,Northeast,CACO,Cape Cod National Seashore,park unit,Cape Cod National Seashore,42.0503,-70.0873,Great Basin Institute,Archeological Overview and Assessment at Cape Cod National Seashore,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project will provide a Research Associate with training in professional archaeology GIS and digital site management standards, principles, and procedures. The Research Associate will receive hands-on experience with researching, organizing, and updating digital site data through the applied process and development of electronic site records using the Cultural Resources Inventory System Archeological Data Reliability Evaluation (CADRE). In order to assist Cape Cod National Seashore in compliance with the Archaeological Resources Protection Act (ARPA), National Historic Preservation Act (NHPA) Section 110, NPS Management Policy 2006, and DO28 (28a) the Research Associate will evaluate and update the Cultural Resources Information System (CRIS-AR)).","Without the award, the research associate will be unable to make the necessary trips to Cape Code National Seashore to complete their work, which aims to improve the efficiency and accuracy of our inventory data and processes. This would leave the work unfinished and delay subsequent project phases.","03/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1234 titled 'Archeological Overview and Assessment at Cape Cod National Seashore,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",101972.83
2142,Disapproved,IMR,Intermountain,CARE,Capitol Reef National Park,park unit,Capitol Reef National Park,38.1706,-111.1427,Great Basin Institute,Capitol Reef National Park Archeology and Historic Preservation,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project will contribute to the management and protection of cultural resources at Capitol Reef National Park while facilitating the streamlined compliance process for high priority deferred maintenance and infrastructure projects that impact park operations and improve visitor experience. The position will assist with park project planning and compliance with the Section 106 of the National Historic Preservation Act through documentary, archival, and collections research; field investigations, analysis and management of collected data; professional report writing; and preparing consultation documentation with the Utah State Historic Preservation Officer (SHPO).","Without funding, this project will not proceed resulting in challenges and delays in managing cultural resources at the park in support of planning and compliance for high priority park projects in service of national priorities.","05/19/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2142 titled 'Capitol Reef National Park Archeology and Historic Preservation,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",100322.29
2335,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,National Experienced Workforce Solutions,CHBA ESP Destination Development Consultation Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"The Experienced Services Program (ESP) helps the National Park Service (NPS) meet critical staffing and technical needs by bringing in experienced professionals on a temporary basis to support park operations, administrative functions, and priority projects. The program provides cost-effective expertise that supports NPS mission goals, strengthens services to the public, and assists parks in addressing immediate operational challenges while long-term solutions are developed. This project will support Chesapeake Gateways through branding and marketing assistance, development of a Network toolkit, and targeted support for partner marketing initiatives. The ESP enrollee will support Chesapeake Gateways branding within regional tourism efforts by assessing current practices, researching successful partnership models, developing a comprehensive tourism partnership toolkit and piloting the tool kit with 2-3 Gateway partners.","Without this project, Chesapeake Gateways will have limited capacity to provide coordinated branding, marketing, and technical assistance to Network partners, reducing opportunities to strengthen visitor engagement, regional tourism collaboration, and community-based economic benefits across the Chesapeake Bay watershed.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2335 titled 'CHBA ESP Destination Development Consultation Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
2339,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,NATIONAL EXPERIENCED WORKFORCE SOLUTIONS,Experienced Services Program Interpretive Planning,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,The Recipient will provide an enrollee under the Experienced Services Program to support Interpretive Planning for the Chesapeake Gateways Network. This project will refresh and modernize the Chesapeake Gateways Network Interpretive Planning Toolkit using current interpretive best practices and storytelling approaches. Through a focused pilot supporting 3–4 Network sites—primarily aligned with America 250 (F250) and Revolutionary War 250 initiatives—the updated toolkit will be applied to develop site-specific interpretive plans. Lessons learned will inform broader Network-wide implementation in advance of upcoming semiquincentennial programming.,"If not awarded, the Chesapeake Gateways Network will lack a modernized interpretive planning toolkit and coordinated pilot support for F250 and Revolutionary War 250 initiatives. Network sites may miss opportunities to deliver cohesive, high-quality semiquincentennial programming and risk fragmented storytelling during a nationally significant commemorative period.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2339 titled 'Experienced Services Program Interpretive Planning ,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
